title,abstract,date,department,type,url
Fysiotherapeutische analyse en conservatieve behandeling van een achterste kruisbandletsel van de knie: een casereport,"Achtergrond: Het herstel na conservatief behandeld achterste kruisbandletsel (PCL) verloopt niet eenduidig. Hoewel de PCL een relatief groot intrinsiek genezingsvermogen heeft, leidt structureel herstel niet vanzelfsprekend tot volledig functioneel herstel. Deze onzekerheid neemt toe bij aanwezigheid van bijkomende knie-gerelateerde comorbiditeiten, zoals kraakbeenschade, botoedeem, verhoogde gewrichtslaxiteit en overgewicht, die het herstel en de belastbaarheid van het kniegewricht kunnen beïnvloeden. Voor conservatieve PCL-revalidatie in combinatie met dergelijke factoren ontbreken specifieke Nederlandse fysiotherapeutische richtlijnen, waardoor onduidelijk is hoe herstel optimaal gemonitord moet worden.Doel: Het doel van deze casestudie was het beschrijven van veranderingen in subjectieve kniefunctie en statische en dynamische balans gedurende tien weken conservatieve fysiotherapeutische revalidatie bij een 26-jarige vrouw met een PCL-letsel en bijkomende knie-gerelateerde comorbiditeiten.Methode: Er werd een enkelvoudige, prospectieve casestudie uitgevoerd met een pre-post design en twee meetmomenten (baseline en week 10). Subjectieve kniefunctie werd gemeten met de International Knee Documentation Committee Subjective Knee Form (IKDC). Statische balans werd beoordeeld met de Single Leg Stance (SLS) en dynamische balans met de Y-Balance Test (YBT). Aanvullend werden de Step-down Test (SDT), de Medical Research Council-schaal (MRC) en de body mass index (BMI) gebruikt. De behandeling bestond uit een criterium-gebaseerd, conservatief fysiotherapeutisch programma gericht op actieve stabiliteit, neuromusculaire controle en geleidelijke belastingstoename.Resultaten: De IKDC-score verbeterde klinisch relevant van 52% bij baseline naar 76% na tien weken. De statische balans nam toe, met een duidelijke verlenging van de standduur tijdens de SLS aan de aangedane zijde. De dynamische balans liet verbeteringen zien in YBT-composietscore en asymmetrie, maar deze veranderingen bleven binnen de meetfout. De bewegingskwaliteit tijdens de SDT verbeterde, met verminderd knietrillen, afname van varusbeweging en minder pijn bij diepe knieflexie. Spierkracht bleef onveranderd en de BMI nam licht af.Conclusie: Tien weken conservatieve fysiotherapeutische revalidatie gingen gepaard met een duidelijke en klinisch relevante verbetering van de subjectieve kniefunctie en aanwijzingen voor verbetering van statische balans bij een patiënte met PCL-letsel en comorbiditeiten. Normalisatie van dynamische balans werd binnen deze periode niet bereikt. Dit onderstreept dat herstel na PCL-letsel een langdurig en criterium-gebaseerd proces is, waarbij interpretatie van uitkomstmaten met voorzichtigheid dient te gebeuren. Toekomstig onderzoek met grotere cohorten en langere follow-up is nodig om het herstelverloop na conservatieve PCL-revalidatie verder te onderbouwen.",,,,https://hbo-kennisbank.nl/details/sharekit_hu:oai:surfsharekit.nl:4a03e73f-8dec-4d10-a546-e52341c71056
Civiel centrum Oppidum Batavorum,"In deze scriptie zijn 144 metalen militaria uit de opgraving op de St. Josephhof geanalyseerd. De vondsten zijn ingedeeld in drie hoofdgroepen: wapentuig, gordelonderdelen en paardentuig. Het terrein van de huidige St. Josephhof maakte in de Romeinse tijd deel uit van Oppidum Batavorum, een proto-urbane nederzetting die rond 19 tot 16 of 12 v. Chr. werd gesticht en bleef bestaan tot haar vernietiging tijdens de Bataafse Opstand (69–70 n. Chr.).Het onderzoek is gebaseerd op materiaal uit vier onderzoeken (1950, 1981–1983, 2005–2006 en 2008) en begon met een studie van het fysieke materiaal in het Archeologisch Depot Nijmegen. De resultaten hiervan zijn vervolgens vastgelegd in de PAN-database (Portable Antiquities of the Netherlands). Alle vondsten zijn onderzocht op metaalsoort, decoratie, compleetheid, functie en, indien mogelijk, type. De gegevens zijn vervolgens geverifieerd door een materiaalspecialist.De meeste vondsten (62,4%) dateren uit 12 v. Chr. – 120 n. Chr., wat goed aansluit bij de bestaansperiode van Oppidum Batavorum. Een relatief groot aandeel van de vondsten (17,7%) heeft een brede datering die overlapt met een kortstondig militair kamp dat volgens literatuuronderzoek in 70–71 n. Chr. op de restanten van het vernietigde Oppidum Batavorum werd aangelegd. Hoewel historische bronnen en eerder onderzoek het bestaan van dit kamp vermelden, ontbreken directe aanwijzingen in het huidige materiaal. De brede datering maakt het onmogelijk de vondsten eenduidig aan dit kamp toe te schrijven, maar de samenstelling suggereert dat het gebied na de Bataafse Opstand niet volledig werd verlaten. Uit de periode 120–300 n. Chr. zijn negen militaire objecten aangetroffen, waarvan sommige mogelijk afkomstig zijn van de begraafplaats van Ulpia Noviomagus, andere van een kleine civiele nederzetting, wat wijst op blijvende Romeinse aanwezigheid of hergebruik in een civiele context. Uit de periode 300–450 n. Chr. zijn vijf vondsten afkomstig, mogelijk van het nabijgelegen castellum Valkhof.Op basis van de functionele verdeling van de vondsten blijkt dat 61,7% tot het paardentuig behoort, 27,7% tot gordelonderdelen en 10,6% tot wapentuig. Slechts 27% van de vondsten is gedecoreerd, waarbij de decoratie meestal bestaat uit eenvoudige vormen als profilering, groeven en uitsteeksels die al tijdens het gietproces zijn aangebracht. Omdat deze decoraties zijn meegegoten, zeggen ze weinig over de status van de eigenaar.Een klein aantal vondsten (zes artefacten) is versierd met kostbare technieken zoals niëllo-inleg, vertinning, glaspasta en zelfs een ingelegde edelsteen. Deze bewerkingen vergden meer arbeid, materialen en vakkennis en lijken daarmee statusverhogend te zijn geweest. Voorbeelden zijn....",,,,https://hbo-kennisbank.nl/details/saxion_scripties:594036ab-add9-42e3-8036-abadd952e32c
Comparative analysis of fingermark development on biodegradable and traditional plastic garbage bags,"The escalating plastic waste crisis has increased the need for sustainable alternatives. Biodegradable plastics have emerged as a promising solution and are now frequently encountered at crime scenes. Although many studies have been published on the development of fingermarks on conventional plastics, limited research has been conducted on them on bioplastics. Therefore, this study aimed to evaluate the efficiency of various fingermark development techniques on biodegradable (d2w) plastic garbage bags compared to traditional (Dumil) plastic garbage bags. Fingermarks were deposited on one of the two types of plastics and developed with one of the following methods: magnetic powder (MP), wet powder (WP), cyanoacrylate fuming (CAF) with Basic Yellow 40, or Vacuum Metal Deposition (VMD). After deposition, fingermarks were left to age for eight different time periods upon development, ranging from fresh (24 h) up to 50 days (about 1 and a half months). Results demonstrated that high-quality fingermarks could be obtained using wet powder and cyanoacrylate fuming, specifically on biodegradable plastics. The effectiveness of magnetic powder on both types of plastic declined over time, while vacuum metal deposition showed inconsistent results. Overall, in this study, fingermarks on biodegradable plastics exhibited more ridge detail than those on traditional plastics. The inability to achieve uniform zinc evaporation during vacuum metal deposition development may explain the differences in fingermark development between the plastic types. This research underscores the need for forensic methodologies for biodegradable plastics to ensure reliable evidence collection in criminal investigations. Further studies are essential to enhance fingermark development techniques for these emerging materials.",,,,https://hbo-kennisbank.nl/details/amsterdam_pure:oai:pure.hva.nl:publications%2F9633b76c-cd3e-43cc-bb65-95ec5a214e4b
The impact of lighting and indoor air quality conditions on students’ comfort and performance in higher education: a 2x2 factorial design approach,,,,,https://hbo-kennisbank.nl/details/hanze_pure_rest:78d4f199-bc10-4af3-820c-aeb907698fb9
Passie in de amateurkunst,Artikel over de rol van passie in de amateurkunst,,,,https://hbo-kennisbank.nl/details/hanzepure:oai:research.hanze.nl:publications%2F9d438551-5646-46de-9fc8-7c15f1270e9e
A legal overview on International & European Safety Standards for hydrogen applications,"Dit rapport is deel I van twee delen waarin de veiligheidsnormen worden onderzocht die van toepassing zijn op waterstoftoepassingen. In deel I wordt ingegaan op de vraag welke normen hoofdzakelijk van toepassing zijn op waterstoftankstations, brandstofcel technologieën en (kleine) waterstof opslag die relevant zijn voor de Nederlandse vergunningsprocedure en wat is de hierarchie tussen deze normen en formele Europese wetgeving. Deel II gaat in op de Nederlandse situatie en behandelt daarbij ook de open normen in het recht en de veiligheidsnormen.",,,,https://hbo-kennisbank.nl/details/hanzepure:oai:research.hanze.nl:publications%2Fe4708d79-de4d-49b0-8385-024bf408dc22
De Malpie,Het afstudeerproject bestaat uit twee onderdelen: enerzijds dit verantwoordingsdocument en anderzijds een eindproduct in de vorm van een 3D-model. Het project werd uitgevoerd in opdracht van de Omgevingsdienst Zuidoost-Brabant (ODZOB) en vond plaats in twee periodes: tussen 2 februari 2025 en 3 juli 2025 en van 1 september 2025 en 15 januari 2026. Het doel van het verantwoordingsdocument is “het archeologisch verantwoord reconstrueren van een 3D-model van het historische landschap van de Malpie in 1648”.,,,,https://hbo-kennisbank.nl/details/saxion_scripties:2605dcb4-2948-4ee8-85dc-b42948cee891
Functionele materialen en meetinstrumenten voor AHF-diagnostiek en -training in kleinschalige verpleeghuizen.,"InleidingAfname van arm-handfi.mctie (AHF) hangt samen met een verminderd vermogen om algemene dagelijkse levensverrichtingen (ADL) zelfstandig uit te voeren (McGrath et al., 2018). In de kleinschalige verpleeghuizen van Zonnehuisgroep Noord varieert het aanbod en de kwaliteit van AHF-trainingen, mede door beperkte materialen en meetinstmmenten, waardoor een consistente AHF-behandeling ontbreekt. Dit onderzoek biedt inzicht in een praktisch en evidence-based aanbeveling van materialen en meetinstmmenten voor AHF- diagnostiek en -training.MethodeHet ontwerpgerichte onderzoek volgde het Double Diamond-model, met de fasen: verkennen, definiëren, ontwikkelen en opleveren. In een probleem-verkennend gesprek met de betrokken ergotherapeut van Zonnehuisgroep Noord werden knelpunten en behoeften in kaart gebracht, waamit ontwerpcriteria werden geformuleerd. Vervolgens werd literatuuronderzoek gedaan naar geschikte meetinstmmenten en trainingsvormen. Het ontwikkelde concept werd door de ergotherapeut beoordeeld op toepasbaarheid.ResultatenDe Stroke Upper Limb Capacity Scale (SULCS) bleek het meest geschikt voor AHFdiagnostiek vanwege de betrouwbaarheid, korte afnametijd en brede toepasbaarheid. Voor AHF-training kwam ADL-geïntegreerde training naar voren, gericht op functioneel behoud door integratie in dagelijkse activiteiten. De ergotherapeut beoordeelde beide  concepten als uitvoerbaar, praktisch en haalbaar binnen de dagelijkse zorgcontext.DiscussieHoewel de resultaten aansluiten bij de ontwerpcriteria, beperken de betrokkenheid van één ergotherapeut en het ontbreken van praktijktoetsing de generaliseerbaarheid. Vervolgonderzoek is wenselijk om implementatie en effectiviteit in de praktijk te evalueren.ConclusieHet onderzoek biedt een praktische en evidence-based aanbeveling waarmee ergotherapeuten AHF bitmen kleinschalige vetpleeghuizen effectief kunnen diagnosticeren len trainen.Met samenvatting in het nederlands. Includes a summary in English.",,,,https://hbo-kennisbank.nl/details/sharekit_hhs:oai:surfsharekit.nl:d4fbc11f-a7eb-453c-9873-cad972021cf3
Symposium “Infrastructuur als structurerende kracht in de verbouwing van Nederland”,"Op dit symposium worden onderzoekers, beleidsmakers en praktijkdeskundigen samen gebracht om te verkennen hoe wetenschap, beleid en uitvoering elkaar kunnen versterken bij vraagstukken in relatie tot de grootschalige vernieuwingsopgave, klimaatadaptie, natuurherstel, energietransitie en demografische ontwikkelingen.",,,,https://hbo-kennisbank.nl/details/hanze_pure_rest:2207884e-69d5-408e-adf2-1e166198c5a6
Arbeidsmarktscan ICT-beroepen Regio Zwolle,"De Arbeidsmarktscan ICT-beroepen van Digital District Zwolle (DDZ) biedt een integraal, fact-based overzicht van de ICT-arbeidsmarkt in de Regio Zwolle om de structurele arbeidskrapte en digitale uitdagingen aan te pakken. Door data van bronnen zoals het CBS, UWV en DUO te combineren, geeft het rapport diepgaand inzicht in de regionale werkgelegenheid, vacaturemarkt en de ontwikkeling van ICT-talent. De scan dient als strategisch instrument voor overheid, onderwijs en bedrijfsleven om gezamenlijk beslissingen te nemen die de regionale digitale economie versterken en ICT-professionals optimaal benutten en behouden voor de regio.Gerealiseerd in opdracht van Digital District Zwolle",,,,https://hbo-kennisbank.nl/details/sharekit_windesheim:oai:surfsharekit.nl:30c1b9ba-f469-4956-a9d3-40476b4720c8
