title,abstract,year,full_date,category,publication_type,url
Verpleegkundig perspectief op persoonsgerichte zorg en ondersteuning,"Verpleegkundig perspectief op persoonsgerichte zorg en ondersteuningDe cliëntreis als kompas in relationele,  netwerkgerichte gezondheidMyrna Pelgrum-Keurhorst (Lector)Download BestandMaterialen met beperkte toegang zijn alleen beschikbaar voor bepaalde hogescholen.Open accessVoor meer informatie over de verschillende gebruiksrechten, klik op het bijbehorende icoon/link.Rechten:CC-BYVerpleegkundig perspectief op persoonsgerichte zorg en ondersteuningDe cliëntreis als kompas in relationele,  netwerkgerichte gezondheidMyrna Pelgrum-Keurhorst (Lector)Download BestandMaterialen met beperkte toegang zijn alleen beschikbaar voor bepaalde hogescholen.Open accessVoor meer informatie over de verschillende gebruiksrechten, klik op het bijbehorende icoon/link.Rechten:CC-BYSamenvattingDe context waarin zorg en ondersteuning met oog voor de persoon wordt gegeven, is sterk veranderd. Er zijn steeds minder zorg- en welzijnsprofessionals in verhouding tot de toename en complexiteit van zorg- en ondersteuningsvragen. Het leidt onder meer tot een oplopende druk in de zorg en onder professionals, langere wachttijden en minder aandacht voor preventie. Dat vraagt om een organisatie van zorg en ondersteuning in de regio dat daarop antwoord geeft. Maar hoe doe je dat en hoe houd je zorg en ondersteuning persoonsgericht, zeker als het gaat om cliënten, patiënten en hun naasten in kwetsbare posities? Hoe lever je de zorg op persoonsniveau, en hoe innoveren en transformeren we de zorg samen met professionals die operationeel gericht zijn?Carinova, Icare, IJsselheem, Isala en Windesheim werken in dit lectoraat samen om via praktijkgericht onderzoek invulling te geven aan deze vragen. In deze samenwerking komen praktijk, wetenschap en onderwijs samen: zorgorganisaties brengen de dagelijkse praktijk en vraagstukken in, terwijl Windesheim als kennisinstelling vanuit onderwijs en onderzoek bijdraagt aan kennisontwikkeling, -circulatie en het opleiden van toekomstige professionals.Deze rede volgt een redeneerlijn van eigen ervaring naar theorie en verpleegkundige traditie, van een complexe context naar wenkend perspectief, en vervolgens naar de uitwerking daarvan in onze onderzoeksagenda en werkwijze van het lectoraat Persoonsgerichte Zorg en Ondersteuning.Lectorale rede in verkorte vorm uitgesproken op donderdag 16 april 2026.Toon meerTrefwoordenpatiëntreissamenwerkingpersoonsgerichte zorglectorale redepersoonsgerichte zorg en ondersteuningIsalaijsselheemcarinovaicarezorgwelzijnThemaGezondheidOrganisatieHogeschool WindesheimAfdelingDomein Gezondheid en WelzijnLectoraatPersoonsgerichte zorg en ondersteuningDatum2026-04-16TypeBoekDOI10.48544/2e6f66ec-2b2a-4b03-a0bc-f9ecc1a5e6beTaalNederlands",2026,,,,https://hbo-kennisbank.nl/details/sharekit_windesheim:oai:surfsharekit.nl:2e6f66ec-2b2a-4b03-a0bc-f9ecc1a5e6be
Op koers blijven als zijinstromer,"Op koers blijven als zijinstromerkwaliteitsvolle aanvangsbegeleiding in het basisonderwijsStep, I. (Student);Leeuw, H.Download BestandMaterialen met beperkte toegang zijn alleen beschikbaar voor bepaalde hogescholen.Open accessOp koers blijven als zijinstromerkwaliteitsvolle aanvangsbegeleiding in het basisonderwijsStep, I. (Student);Leeuw, H.Download BestandMaterialen met beperkte toegang zijn alleen beschikbaar voor bepaalde hogescholen.Open accessSamenvattingOm het lerarentekort in Vlaanderen aan te pakken, wordt steeds vaker ingezet op zijinstromers: volwassenen die na een eerdere loopbaan de overstap maken naar het onderwijs. Deze groep blijkt echter kwetsbaar: velen verlaten het beroep al binnen het eerste jaar. Dit praktijkgericht onderzoek verkent hoe kwaliteitsvolle aanvangsbegeleiding kan bijdragen aan het verminderen van uitval bij zijinstromers in het basisonderwijs. Via een meervoudige casestudie in vier basisscholen werden interviews afgenomen bij zijinstromers, aanvangsbegeleiders, mentoren en schoolleiders. Een praatplaat met helpende factoren vormde daarbij de leidraad voor analyse en gesprek. De resultaten tonen aan dat informeel leren binnen het team, een warm onthaal en begeleiding op maat cruciaal zijn. Teamteaching wordt wisselend ervaren, terwijl peercontact, afstemming met de lerarenopleiding en het gebruik van begeleidingsinstrumenten beperkt aanwezig zijn. Werkdruk, tijdsgebrek en rolonduidelijkheid vormen belemmeringen. Relationele ondersteuning, waardering van eerdere ervaring en een sterke schoolcultuur blijken doorslaggevend. Het onderzoek formuleert aanbevelingen voor scholen, opleidingen en beleid, met aandacht voor persoonlijke groei, werk-privébalans en structureel peerleren. Kwaliteitsvolle aanvangsbegeleiding vraagt maatwerk en verankering in de bredere schoolcontext.Toon meerTrefwoordenBelgiëDocentenStudiebegeleidingCoachingThemaOpvoeding & OnderwijsOrganisatieAeres HogeschoolAfdelingLeren en InnoverenPartnerAeres Hogeschool WageningenArtevelde HogeschoolDatum2026-06-10TypeMasterTaalNederlands",2009,,,,https://hbo-kennisbank.nl/details/aereshogeschool:oai:www.greeni.nl:VBS:2:153466
Jouw ervaringen en ervaringskennis: werkbladen,"Jouw ervaringen en ervaringskennis: werkbladenLieke Helmes;Quinta Ansem;Petra Josso Loureiro (Onderzoeker)Download BestandMaterialen met beperkte toegang zijn alleen beschikbaar voor bepaalde hogescholen.Open accessVoor meer informatie over de verschillende gebruiksrechten, klik op het bijbehorende icoon/link.Rechten:CC-BYJouw ervaringen en ervaringskennis: werkbladenLieke Helmes;Quinta Ansem;Petra Josso Loureiro (Onderzoeker)Download BestandMaterialen met beperkte toegang zijn alleen beschikbaar voor bepaalde hogescholen.Open accessVoor meer informatie over de verschillende gebruiksrechten, klik op het bijbehorende icoon/link.Rechten:CC-BYSamenvattingBeantwoord de vragen in dit werkblad en wordt als professional bewust van je eigen ervaringskennis en hoe je deze kennis kunt delen. Zo ontdek je de meerwaarde van je eigen ervaringskennis en vergroot je je handelingsmogelijkheden in de dagelijkse praktijk.Onderdeel van project KEUSTrefwoordenErvaringskenniservaringsdeskundigesocial worksociaal domeinThemaMens & MaatschappijOrganisatieHogeschool WindesheimAfdelingDomein Windesheim in AlmereLectoraatKlantenperspectief in ondersteuning en zorgPartnersEAPN NederlandGepubliceerd inEAPNNed.nlDatum2026-03-24TypeAndersoortig materiaalTaalNederlands",2021,,,,https://hbo-kennisbank.nl/details/sharekit_windesheim:oai:surfsharekit.nl:75f02b85-b85e-4615-958c-143ac27ad8a9
Urban Upcycling: Van experiment naar haalbaar businessmodel,"Urban Upcycling: Van experiment naar haalbaar businessmodelHoe ondernemers nieuwe waarde creëren met stedelijke reststromen.van Hees, Marco (City Net Zero);Oskam, Inge (Lectoraat Circulair Ontwerpen En Ondernemen);Bocken, NancyDownload BestandMaterialen met beperkte toegang zijn alleen beschikbaar voor bepaalde hogescholen.Open accessUrban Upcycling: Van experiment naar haalbaar businessmodelHoe ondernemers nieuwe waarde creëren met stedelijke reststromen.van Hees, Marco (City Net Zero);Oskam, Inge (Lectoraat Circulair Ontwerpen En Ondernemen);Bocken, NancyDownload BestandMaterialen met beperkte toegang zijn alleen beschikbaar voor bepaalde hogescholen.Open accessSamenvattingNederland wil in 2050 volledig circulair zijn. Lokale en regionale upcycling initiatieven kunnen hierin een sleutelrol spelen. Maar welke kansen liggen er voor ondernemers en hoe ontwikkel je een businessmodel rondom stedelijke reststromen? Deze publicatie is vooral bedoeld voor ondernemers en andere professionals die betrokken zijn bij urban upcycling initiatieven of hiermee graag aan de slag willen, bijvoorbeeld vanuit een MKB onderneming, een lokaal MVO-initiatief, een buurtinitiatief of een circulair ambachtscentrum. Daarnaast bieden de inzichten handvatten en ideeën voor beleidsmakers en business professionals om samen te werken aan urban upcycling en kansrijke bedrijfsinitiatieven te stimuleren.ThemaAlgemeenOrganisatieHogeschool van AmsterdamDatum2026-03-16TypeRapportTaalNederlands",2050,,,,https://hbo-kennisbank.nl/details/amsterdam_pure:oai:pure.hva.nl:publications%2F959d4bfa-57dd-4b12-b3e4-5ea82c87da03
Ervaringskennis in de organisatie: werkblad,"Ervaringskennis in de organisatie: werkbladLieke Helmes;Quinta Ansem;Petra Josso Loureiro (Onderzoeker)Download BestandMaterialen met beperkte toegang zijn alleen beschikbaar voor bepaalde hogescholen.Open accessVoor meer informatie over de verschillende gebruiksrechten, klik op het bijbehorende icoon/link.Rechten:CC-BYErvaringskennis in de organisatie: werkbladLieke Helmes;Quinta Ansem;Petra Josso Loureiro (Onderzoeker)Download BestandMaterialen met beperkte toegang zijn alleen beschikbaar voor bepaalde hogescholen.Open accessVoor meer informatie over de verschillende gebruiksrechten, klik op het bijbehorende icoon/link.Rechten:CC-BYSamenvattingBeantwoord de vragen in dit werkblad en ontdek als professional welke ervaringskennis waar in de organisatie aanwezig is, en hoe je deze als kennisbron kunt gebruiken. Zo vergroot je je handelingsmogelijkheden in de dagelijkse praktijk.Onderdeel van project KEUSTrefwoordenErvaringskennissociaal domeinervaringsdeskundigesocial workThemaMens & MaatschappijOrganisatieHogeschool WindesheimAfdelingDomein Windesheim in AlmereLectoraatKlantenperspectief in ondersteuning en zorgPartnersEAPN NederlandGepubliceerd inEAPNed.nlDatum2026-03-24TypeAndersoortig materiaalTaalNederlands",2021,,,,https://hbo-kennisbank.nl/details/sharekit_windesheim:oai:surfsharekit.nl:99aa5ea1-fce7-433f-8258-28e273caf55f
Procesbegeleider van lerende netwerken : een praktische handreiking,"Procesbegeleider van lerende netwerken : een praktische handreikingKarin van Look;Martine Broekhuizen;Lisa van der Sande (Lid Lectoraat);Willemijn Schot;Loes van Wessum (Lid Lectoraat)Download BestandMaterialen met beperkte toegang zijn alleen beschikbaar voor bepaalde hogescholen.Open accessVoor meer informatie over de verschillende gebruiksrechten, klik op het bijbehorende icoon/link.Rechten:CC-BYProcesbegeleider van lerende netwerken : een praktische handreikingKarin van Look;Martine Broekhuizen;Lisa van der Sande (Lid Lectoraat);Willemijn Schot;Loes van Wessum (Lid Lectoraat)Download BestandMaterialen met beperkte toegang zijn alleen beschikbaar voor bepaalde hogescholen.Open accessVoor meer informatie over de verschillende gebruiksrechten, klik op het bijbehorende icoon/link.Rechten:CC-BYSamenvattingIn de Stedelijke Taalaanpak Almere werken professionals samen in lerende netwerken om de taalvaardigheid van kinderen en jongeren te versterken. Rond een centraal taalthema en streefdoel bouwen zij gedurende minimaal een jaar kennis en ervaring op, die ze delen en toepassen in de praktijk. De publicatie Procesbegeleider van lerende netwerken: een praktische handreiking biedt concrete richtlijnen om deze netwerken effectief op te zetten, te begeleiden en duurzaam te verankeren. Met praktische en onderzoeksgestuurde inzichten draagt de aanpak bij aan een sterkere taalpraktijk en betere kansen voor jeugd.Trefwoordenlerend netwerkprocesbegeleidertaalontwikkelingtaalvaardigheidThemaOpvoeding & OnderwijsMens & MaatschappijOrganisatieHogeschool WindesheimAfdelingDomein Windesheim in AlmereLectoraatUrban Care and EducationDatum2026-03-31TypeAndersoortig materiaalTaalNederlands",2024,,,,https://hbo-kennisbank.nl/details/sharekit_windesheim:oai:surfsharekit.nl:b68f24fc-55bc-4032-b732-29f2fe21da2a
Van blauwdruk naar beeldscherm,"Van blauwdruk naar beeldschermeen onderzoek naar de organisatorische randvoorwaarden en duurzaamheidseffecten van een papierloze bouwplaats bij Heijmans Huizen B.V.Leon Held (Student);Ernest Boel (Begeleider);Jan Pieter van Dalen (Begeleider)Download BestandMaterialen met beperkte toegang zijn alleen beschikbaar voor bepaalde hogescholen.Open accessVoor meer informatie over de verschillende gebruiksrechten, klik op het bijbehorende icoon/link.Rechten:Alle rechten voorbehoudenVan blauwdruk naar beeldschermeen onderzoek naar de organisatorische randvoorwaarden en duurzaamheidseffecten van een papierloze bouwplaats bij Heijmans Huizen B.V.Leon Held (Student);Ernest Boel (Begeleider);Jan Pieter van Dalen (Begeleider)Download BestandMaterialen met beperkte toegang zijn alleen beschikbaar voor bepaalde hogescholen.Open accessVoor meer informatie over de verschillende gebruiksrechten, klik op het bijbehorende icoon/link.Rechten:Alle rechten voorbehoudenSamenvattingDe productiviteitsgroei in de bouw blijft al jaren achter en digitalisering wordt gezien als een belangrijke mogelijkheid om efficiënter, sneller en met minder fouten te werken. Heijmans Huizen B.V. wil deze digitalisering vertalen naar een papierloze bouwplaats. Er worden echter belemmeringen verwacht op organisatorisch gebied en er zijn vraagtekens over de milieu impact van papierloos werken. De hoofdvraag luidt: Wat zijn de organisatorische randvoorwaarden en de duurzaamheidseffecten van de papierloze bouwplaats bij Heijmans Huizen B.V.? Om antwoord te geven op de hoofdvraag is onderzocht wat de papierloze bouwplaats inhoudt en in hoeverre dit verschilt van de huidige werkwijze. De papierloze bouwplaats is een digitale werkwijze waarbij tekeningen en documenten via een digitale tool beschikbaar zijn. Bouwplaatsmedewerkers werken met een tablet in plaats van papieren tekeningen, waardoor informatie altijdactueel en centraal toegankelijk is. De verandering voor Heijmans Huizen B.V. zit in twee zaken: de opslaglocatie van bestanden en het introduceren van digitale hulpmiddelen op de bouwplaats.Kijkende naar de duurzaamheidsaspecten is een papierloze bouwplaats niet automatisch milieuvriendelijker dan het werken met papier. Het gemiddelde papiergebruik op een bouwplaats heeft een CO2-uitstoot van 56kg per project. Wanneer met tablets gewerkt wordt is de CO2-uitstoot 94kg per project. Hierbij moet opgemerkt worden dat het aantal tablets per bouwplaats en de levensduur van de tablets belangrijke variabelen zijn die de uitstoot negatief of positief kunnen beïnvloeden.De bouwplaatsmedewerkers van Heijmans Huizen B.V. voorzien diverse belemmerende en bevorderende factoren wanneer zij naar papierloos bouwen kijken. 74% van de bevraagde bouwplaatsmedewerkers wil in de toekomst graag met een tablet werken. Zij verwachten voordelen in leesbaarheid en actualiteit van de tekeningen. De bouwplaatsmedewerkers zien ook belemmerende factoren die bestaan uit gebrek aan scholing, schade aan tablets en gebrekkige functionaliteit van de tablets bij slecht weer. Slokker Bouwgroep B.V., K_Dekker Bouw & Infra B.V. en Van Rhijn Bouw B.V. werken of hebben gewerkt met de papierloze bouwplaats. In interviews hebben deze bedrijven aangegeven wat voor hen de benodigde randvoorwaarden, knelpunten en best practices waren voor een succesvolle implementatie. De belangrijkste randvoorwaarden liggen primair bij mensgerichte implementatie: scholing en gefaseerde invoering. Knelpunten liggen in de weerstand bij medewerkers en praktische problemen van tablets. Best practices zijn het hanteren van een tweesporenbeleid waarbij papier naast digitale hulpmiddelen gebruikt worden. Verdere best practices zijn klein beginnen, structurele begeleiding op de bouwplaats en het aanstellen van kartrekkers.Concluderend kan gesteld worden dat organisatorische randvoorwaarden primair bij mensgerichte implementatie liggen: gefaseerd invoeren, gericht opleiden en het inzetten van kartrekkers. Dit moet ondersteund worden door robuuste hardware en gebruiksvriendelijke software. De duurzaamheidseffecten zijn binnen de gekozen grenzen onvoordelig voor de papierloze bouwplaats. Tablets veroorzaken gemiddeld meer CO2-uitstoot per project dan hethuidige drukwerk. De toegevoegde waarde van de papierloze bouwplaats ligt vooral in de actualiteit van tekeningen en documenten, niet primair in CO₂‑reductie.Toon meerTrefwoordenDuurzaamheidBouwplaatsenDigitaliseringEfficiencyThemaTechniekOrganisatieHAN University of Applied SciencesOpleidingBouwkundeAfdelingAcademie Built EnvironmentPartnerHeijmans Huizen B.V.Datum2026-03-01TypeBachelorTaalNederlands",2024,,,,https://hbo-kennisbank.nl/details/sharekit_han:oai:surfsharekit.nl:708097af-e767-4450-b1f1-ec38158d6846
Processtappen voor effectieve inzet ervaringskennis en ervaringsdeskundigheid,"Processtappen voor effectieve inzet ervaringskennis en ervaringsdeskundigheidvoor teams en organisatiesLieke Helmes;Quinta Ansem;Petra Josso Loureiro (Onderzoeker)Download BestandMaterialen met beperkte toegang zijn alleen beschikbaar voor bepaalde hogescholen.Open accessVoor meer informatie over de verschillende gebruiksrechten, klik op het bijbehorende icoon/link.Rechten:CC-BYProcesstappen voor effectieve inzet ervaringskennis en ervaringsdeskundigheidvoor teams en organisatiesLieke Helmes;Quinta Ansem;Petra Josso Loureiro (Onderzoeker)Download BestandMaterialen met beperkte toegang zijn alleen beschikbaar voor bepaalde hogescholen.Open accessVoor meer informatie over de verschillende gebruiksrechten, klik op het bijbehorende icoon/link.Rechten:CC-BYSamenvattingDit model geeft inzicht in de belangrijkste processtappen voor de effectieve inzet van ervaringsdeskundigen en ervaringskennis binnen organisaties. Het proces kan verschillend benaderd worden, afhankelijk van de context waarin het team of de organisatie zich bevindt en waar mogelijkheden zijn. Belangrijk: er is geen volgorde, afwisselen kan, maar alle stappen doen ertoe. Vier stappen gaan over het vergroten van draagvlak in de organisatie en vier stappen gaan over het positioneren van de ervaringsdeskundige of inwoner met ervaringskennis.Trefwoordenervaringsdeskundigenparticipatiewetsociaal domeinprocesoptimalisatieervaringskennisThemaEconomie & ManagementMens & MaatschappijOrganisatieHogeschool WindesheimAfdelingDomein Windesheim in AlmereLectoraatKlantenperspectief in ondersteuning en zorgDatum2026-03-24TypeAndersoortig materiaalTaalNederlands",2018,,,,https://hbo-kennisbank.nl/details/sharekit_windesheim:oai:surfsharekit.nl:c3457c1d-668d-4f68-ae88-077f7930a0a7
Werken met de Sociale Index in Hoorn.,"Werken met de Sociale Index in Hoorn.Toepassing van datagedreven en gebiedsgericht werken.Rözer, Jesper (Lectoraat Stedelijk Sociaal Werk)Download BestandMaterialen met beperkte toegang zijn alleen beschikbaar voor bepaalde hogescholen.Open accessWerken met de Sociale Index in Hoorn.Toepassing van datagedreven en gebiedsgericht werken.Rözer, Jesper (Lectoraat Stedelijk Sociaal Werk)Download BestandMaterialen met beperkte toegang zijn alleen beschikbaar voor bepaalde hogescholen.Open accessSamenvattingDe gemeente Hoorn wil graag meer datagedreven gaan werken en heeft daarvoor in 2025 een Sociale Index laten ontwikkelen. Deze bestaat uit twee delen: 1) een overzicht met cijfers per gebied over diverse onderwerpen, zoals sociale cohesie, eenzaamheid en ervaren gezondheid; en 2) een onderliggend theoretisch kader dat inzicht geeft in hoe de thema’s samenhangen en geordend kunnen worden. De gegevens zijn op gebiedsniveau verzameld, mede vanuit de wens om zo het gebiedsgericht werken vorm te geven en de sociale basis te versterken. Het werken met de Sociale Index gaat echter niet vanzelf en vraagt kennis en kunde. In deze rapportage geven we richtlijnen en aandachtspunten mee.ThemaAlgemeenOrganisatieHogeschool van AmsterdamDatum2026-04TypeRapportTaalNederlands",2025,,,,https://hbo-kennisbank.nl/details/amsterdam_pure:oai:pure.hva.nl:publications%2F7c3bd7d0-1199-4e59-b425-7bdd410f9af2
Engaging the Image: Visual Creativity in contemporary Dutch Protestantism,"Engaging the Image: Visual Creativity in contemporary Dutch ProtestantismWijnia, LiekeBekijk URLMaterialen met beperkte toegang zijn alleen beschikbaar voor bepaalde hogescholen.Open accessEngaging the Image: Visual Creativity in contemporary Dutch ProtestantismWijnia, LiekeBekijk URLMaterialen met beperkte toegang zijn alleen beschikbaar voor bepaalde hogescholen.Open accessSamenvattingThe research project The New Illuminators: Women in Search of Spiritual Authority and Resilience provides us with a remarkable level of access to the work of women bible journallers. In addition to questions about gender, agency and interpretation, the project demonstrates once more the enduring dynamics between the textual and visual in Christian contexts. One of the contexts theproject has studied, is the Netherlands, known as one of the most rapidly secularized countries in Western Europe. This secularization process has not resulted in a complete vanishing of Christianity from the public domain, but has rather resulted in a transformed, diversified and culturalized societal position of Christianity. One notable aspect of this position is the rising prominence of the relationship between religion and the arts. Despite Catholicism traditionally being the more visual and materially engaged Christian tradition, in the Dutch context it is remarkably how innovative and experimental artistic creativityis predominantly engaged in Protestant contexts. In this paper, I explore three art projects that strongly engaged with Christianity, to contextualize the practices of Dutch Bible journallers. I look at the set of choir paintings by Egbert Modderman, commissioned by the Groningen Martini Church; the 2019 lent art project Art Stations of the Cross, displayed across various locations in Amsterdam; and the recent exhibition Through Matter of Time by Morena Bamberger in Stedelijk Museum Schiedam. Each of these projects demonstrate a different type of engagement with scripture through the arts, of which in turn traces can be found in Bible journalling practices. While the journalling practices take place in a different artistic and aesthetic discourse than the institutional art projects, bringing them together in an analytical framework sheds a moreelaborate and nuanced light on the enduring relation between Scripture and visual creativity in a secularized context like the Netherlands.Toon meerTrefwoordenArtArt &Amp; WellbeingArt, Learning And ParticipationBeeldende KunstContemporary ArtsEducation And TeachingHedendaagse KunstKunstKunst En WelzijnKunst, Leren En ParticiperenKunstenLanguage, Culture And ArtsMens En MaatschappijMuseaMuseumsNature And AgricultureNatuur &Amp; LandbouwOpvoeding En OnderwijsPeople And SocietyProtestantismProtestantismeRecreatie, Beweging &Amp; SportRecreation, Exercise And SportsReligieReligionRuimtelijke Ordening En PlanningSdg 03 - Good Health And Well-BeingSdg 03 – Goede Gezondheid En WelzijnSdg 04 - Quality EducationSdg 04 – KwaliteitsonderwijsSdg 10 - Reduced InequalitiesSdg 10 – Minder OngelijkheidSdg 11 - Sustainable Cities And CommunitiesSdg 11 – Duurzame Steden En GemeenschappenSpatial Planning And PolicyTaal, Cultuur &Amp; KunstenVisual ArtsThemaAlgemeenOrganisatieHanzeDatum2026-03-27TypeConferentiebijdrageTaalNederlands",2019,,,,https://hbo-kennisbank.nl/details/hanze_pure_rest:41a7ae4e-1cd9-44f7-8366-033786f0a7c1
